feature,suggested_side,family,source_family,lane,in_box15_control,new_mechanism_feature,rows,coverage,minimum,p01,median,p99,maximum,standard_deviation,adjacent_season_median_correlation,adjacent_transitions,adjacent_player_pairs,early_late_smd,early_late_univariate_auc,source_shift_flag,stable_redundancy_member,screen_status
short_mid_frequency,offense,general_box_or_rate,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.012500000000000002,0.035597919201449904,0.18729512134802082,0.4501619513131462,1.0,0.08941897050780342,0.941935923782888,8,6912,0.13147019488275796,0.5607047396329974,False,False,eligible_for_fold_internal_screen
rim_protection_workload_value,defense,rim_interior,same_season_mechanism,retrospective_candidate,False,True,8620,1.0,-7.188687931454717,-1.8874832172399718,0.03720058694444519,6.1583545166225395,11.412785331884734,1.4232860322896859,0.9124804605986248,8,6912,0.07759642449124238,0.560209217255785,False,True,prune_within_fold
FTM_p100,both,fouls_free_throws,gabriel_player_sheet_or_derived,retrospective_candidate,True,False,8620,1.0,0.0,0.0,2.376463065168217,8.45312187568523,15.0,1.8262226151678034,0.9386448642618852,8,6912,-0.19091570188611678,0.559613324068166,False,False,eligible_for_fold_internal_screen
paint_points_per_touch,defense,creation_passing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.7833160820987797,2.0,2.5,0.30623450643460065,0.8726568015312693,8,6912,0.14731774590045693,0.5589102328729434,False,False,eligible_for_fold_internal_screen
arc3_accuracy_eb,offense,three_spacing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.26353593185852925,0.3014653456357396,0.34554414898061836,0.39007060130222315,0.4215973589520708,0.01707165351436669,0.8354232123187864,8,6912,0.17218889078455582,0.5566846491737357,False,False,eligible_for_fold_internal_screen
bad_pass_turnovers_p100,offense,creation_passing,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.7223744187871716,2.717391304347826,9.090909090909092,0.6307842049287681,0.9107177187098034,8,6912,-0.20485985936384954,0.55637241501805,False,False,eligible_for_fold_internal_screen
shooting_fouls_drawn_p100,offense,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,1.3874984470637033,4.6080137562047385,33.33333333333333,1.1451335852291684,0.9364139053696293,8,6912,-0.17795997016120296,0.5561576611255703,False,False,eligible_for_fold_internal_screen
travels_p100,offense,turnovers,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.13089005235602094,0.8760101867572124,4.545454545454546,0.20360268582370278,0.8691273382118931,8,6912,-0.18261653299785371,0.5543527759246158,False,False,eligible_for_fold_internal_screen
rebound_chances_p100,both,rebounding,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,13.835793181797843,35.97162623660724,100.0,7.961876580540736,0.9732638325263852,8,6912,-0.17886999372943527,0.553075429352246,False,False,eligible_for_fold_internal_screen
foul_adjusted_activity_residual,defense,fouls_free_throws,same_season_mechanism,retrospective_candidate,False,True,8620,1.0,-11.282852285497402,-4.8656549847434,-0.22160162868075772,7.555322296689961,17.76979409849321,2.31916096306261,0.9532113596490166,8,6912,-0.06227321776869807,0.5514427106483519,False,False,eligible_for_fold_internal_screen
lost_ball_turnovers_p100,offense,turnovers,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,0.4155541831248042,1.5151515151515151,16.666666666666664,0.42939846043079327,0.8914440321451159,8,6912,-0.16113187965960396,0.5511014058465363,False,False,eligible_for_fold_internal_screen
matchup_shooting_fouls_prevented_vs_scorer_p100_eb,defense,shooting,matchup_defense,retrospective_candidate,False,False,8620,1.0,-2.576547647509236,-1.19732506577702,-0.02357395282162365,0.6145576794380798,1.0627699986043289,0.3560529679174326,0.9152568982404476,8,6912,-0.17001682322942388,0.5509320197805926,False,False,eligible_for_fold_internal_screen
potential_assists_per_touch_eb,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.04189540281679736,0.058167411492135536,0.10550726342805646,0.17399334682001621,0.21593650894432753,0.02406844640723057,0.9687102821965566,8,6912,0.1330102619594655,0.5505037783305973,False,False,eligible_for_fold_internal_screen
usage_events_p100,both,general_box_or_rate,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,19.02528735632184,35.43342540048942,100.0,6.446521420594786,0.9326815168727711,8,6912,-0.17933252730553376,0.5500836579417839,False,False,eligible_for_fold_internal_screen
