Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
2012,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.44000000000000006,-0.6,-1.4749999999999999,0.42500000000000004,-0.36842996024717595,-0.5053672888403156,25407.0
2013,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.5599999999999999,-0.6499999999999999,-1.525,0.225,-0.5479197517805514,-0.5082830614959947,28362.0
2014,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.325,-0.15000000000000002,-1.1500000000000001,0.5,-0.42112627986348117,-0.29187086185914435,23440.0
2015,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.16000000000000003,-0.05,-0.475,0.3,-0.14429812492629432,-0.2588010720211027,25439.0
2016,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.32,-0.30000000000000004,-1.375,0.6,-0.41471159643598854,-0.1857794596692327,29854.0
2017,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.45,-0.6499999999999999,-0.8250000000000001,-0.05,-0.530193004171824,-0.5345604481848377,21813.0
2018,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.17500000000000002,0.1,-1.2,0.45,-0.09230158955033577,-0.2184280616964547,35293.0
2019,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.325,0.2,-1.35,0.45,-0.4866289855072463,-0.22874597301518995,34500.0
2020,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.9049999999999999,-1.1,-1.525,-0.425,-1.0313578112668644,-1.1083908751811584,26609.0
2021,BRef DBPM,BRef_DBPM,BRef_MP,19,-0.4052631578947368,-0.5,-1.0,0.4,-0.4472971468853188,-0.5163822107010668,26953.0
2022,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.575,-0.45,-1.1,-0.17500000000000002,-0.4421452455929617,-0.5656550691241132,30803.0
2023,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.595,-0.7,-1.325,0.225,-0.7317957473226757,-0.6971075538632264,32215.0
2024,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.40499999999999997,-0.45,-1.725,0.8,-0.24055458079609174,-0.08019889644345961,29067.0
1997,BRef OBPM,BRef_OBPM,BRef_MP,18,-1.9166666666666667,-2.35,-3.575,-0.225,-0.8518579363216772,-0.7965197562652934,25566.0
1998,BRef OBPM,BRef_OBPM,BRef_MP,13,-0.7384615384615386,-0.7,-2.3,0.7,-0.1407045707915273,0.0016729729138989097,22425.0
1999,BRef OBPM,BRef_OBPM,BRef_MP,14,-0.35714285714285715,-0.5,-1.75,1.1,0.42167162206805436,0.5470331460569757,12108.0
