cohort,Rookie_Age_Bin,Season,series,value,n_players,weight_sum
All qualifying,22,2005,BRef BPM,-0.960480476591336,12,15443.0
All qualifying,22,2006,BRef BPM,-2.3922722572153803,9,10637.0
All qualifying,22,2007,BRef BPM,-1.244707710234997,9,10298.0
All qualifying,22,2008,BRef BPM,-2.4510276645564133,11,11531.0
All qualifying,22,2009,BRef BPM,-2.729195778207225,5,6727.0
All qualifying,22,2010,BRef BPM,-0.9827049485303239,14,16126.0
All qualifying,22,2011,BRef BPM,-1.255230844793713,12,12216.0
All qualifying,22,2012,BRef BPM,-1.4425458018581228,10,11517.0
All qualifying,22,2013,BRef BPM,-1.6423848987108658,10,10860.0
All qualifying,22,2014,BRef BPM,-1.8840056617126681,8,9891.0
All qualifying,22,2015,BRef BPM,-3.0245153107447,7,5519.0
All qualifying,22,2016,BRef BPM,-1.2608604606891298,8,5253.0
All qualifying,22,2017,BRef BPM,-3.6460530025373554,8,7094.0
All qualifying,22,2018,BRef BPM,-2.2032143701252656,7,8462.0
All qualifying,22,2019,BRef BPM,-2.313993871297242,10,9790.0
All qualifying,22,2020,BRef BPM,-2.9916488983653164,7,5628.0
All qualifying,22,2021,BRef BPM,-1.0348698758292227,7,5879.0
All qualifying,22,2022,BRef BPM,-2.470623517924397,8,7169.0
All qualifying,22,2023,BRef BPM,-1.6298933074684774,8,10310.0
All qualifying,22,2024,BRef BPM,-0.5373554289659936,6,5793.0
All qualifying,18,1997,BRef VORP,0.2946188340807175,2,1561.0
All qualifying,18,2006,BRef VORP,-0.4000000000000001,1,338.0
All qualifying,19,1998,BRef VORP,0.8,1,1179.0
All qualifying,19,1999,BRef VORP,0.0,1,557.0
All qualifying,19,2001,BRef VORP,0.8,1,2133.0
All qualifying,19,2002,BRef VORP,-0.5050522061300101,3,2969.0
All qualifying,19,2004,BRef VORP,2.9,1,3122.0
All qualifying,19,2005,BRef VORP,0.5854442587115855,5,7777.0
All qualifying,19,2006,BRef VORP,-0.1,1,1070.0
All qualifying,19,2008,BRef VORP,1.3,1,2768.0
All qualifying,19,2009,BRef VORP,-0.1,1,1129.0
All qualifying,19,2011,BRef VORP,-0.5,1,1535.0
All qualifying,19,2012,BRef VORP,-0.7523267838676319,2,1934.0
All qualifying,19,2013,BRef VORP,0.3466034271725826,2,3268.0
All qualifying,19,2014,BRef VORP,-0.2,2,2430.0
All qualifying,19,2015,BRef VORP,-0.7438221317040055,3,2946.0
All qualifying,19,2016,BRef VORP,-0.6287873914441943,2,3109.0
All qualifying,19,2017,BRef VORP,-0.7403554837406584,4,4951.0
